LineId,Date,Time,Level,Content,EventId,EventTemplate,ParameterList
1,2017-06-22T15:10:45Z:,1961d7d2-6ae0-4451-89db-9dad2c955c98,the 811596193553 with AWSPowerShell/51.148.173.209 .NET_Core/103.8.217.217 OS/Darwin_16.6.0_Darwin_Kernel_Version_16.6.0,_Fri_Apr_14_16:21:16_PDT_2017;_root:xnu-3789.60.24~6/RELEASE_X86_64 PowerShellCore/6.-1 ClientAsync in the ec2.amazonaws.com have done DescribeSnapshots,5cdedebd,_Fri_Apr_14_16:21:16_PDT_2017;_root:xnu-3789.60.24~6/RELEASE_X86_64 PowerShellCore/6.-1 <*> in the <*> have done <*>,"['ClientAsync', 'ec2.amazonaws.com', 'DescribeSnapshots']"
2,2017-06-22T15:15:32Z:,1b93f37f-37f1-40dd-b721-471b4171d8a1,the 811596193553 with [AWSPowerShell/51.148.173.209 .NET_Core/103.8.217.217 OS/Darwin_16.6.0_Darwin_Kernel_Version_16.6.0,_Fri_Apr_14_16:21:16_PDT_2017;_root:xnu-3789.60.24~6/RELEASE_X86_64 PowerShellCore/6.-1 ClientAsync] in the s3.amazonaws.com have done ListBuckets,5cdedebd,_Fri_Apr_14_16:21:16_PDT_2017;_root:xnu-3789.60.24~6/RELEASE_X86_64 PowerShellCore/6.-1 <*> in the <*> have done <*>,"['ClientAsync]', 's3.amazonaws.com', 'ListBuckets']"
3,2017-06-22T15:18:30Z:,47918f8-9f72-46ea-bfa1-3c80191f34d0,the 811596193553 with [AWSPowerShell/51.148.173.209 .NET_Core/103.8.217.217 OS/Darwin_16.6.0_Darwin_Kernel_Version_16.6.0,_Fri_Apr_14_16:21:16_PDT_2017;_root:xnu-3789.60.24~6/RELEASE_X86_64 PowerShellCore/6.-1 ClientAsync] in the s3.amazonaws.com have done ListBuckets,5cdedebd,_Fri_Apr_14_16:21:16_PDT_2017;_root:xnu-3789.60.24~6/RELEASE_X86_64 PowerShellCore/6.-1 <*> in the <*> have done <*>,"['ClientAsync]', 's3.amazonaws.com', 'ListBuckets']"
4,2017-06-22T15:35:37Z:,d322606-6d12-4aa9-a61f-1188621369c1,the 811596193553 with [AWSPowerShell/51.148.173.209 .NET_Core/103.8.217.217 OS/Darwin_16.6.0_Darwin_Kernel_Version_16.6.0,_Fri_Apr_14_16:21:16_PDT_2017;_root:xnu-3789.60.24~6/RELEASE_X86_64 PowerShellCore/6.-1 ClientAsync] in the s3.amazonaws.com have done ListBuckets,5cdedebd,_Fri_Apr_14_16:21:16_PDT_2017;_root:xnu-3789.60.24~6/RELEASE_X86_64 PowerShellCore/6.-1 <*> in the <*> have done <*>,"['ClientAsync]', 's3.amazonaws.com', 'ListBuckets']"
5,2017-08-11T15:40:03Z:,988620-a6bd-49a3-ae71-eec90c673a31,the 811596193553 with Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv,11.0) like Gecko in the signin.amazonaws.com have done CheckMfa,4d2b2527,11.0) like Gecko in the signin.amazonaws.com have done CheckMfa,[]
6,2018-03-02T23:41:16Z:,dff2938c-056b-45c7-926b-84f2dfa6c2df,the 811596193553 with S3 Browser 6-4-1 http,//s3browser.com in the cloudfront.amazonaws.com have done ListDistributions2012_03_15,3bed7472,<*> in the <*> have done <*>,"['//s3browser.com', 'cloudfront.amazonaws.com', 'ListDistributions2012_03_15']"
7,2018-03-02T23:41:16Z:,aa3a43d2-7db9-41da-9bca-8a6e3355896b,the 811596193553 with [S3 Browser 6-4-1 http,//s3browser.com] in the s3.amazonaws.com have done ListBuckets,3bed7472,<*> in the <*> have done <*>,"['//s3browser.com]', 's3.amazonaws.com', 'ListBuckets']"
8,2018-03-02T23:41:16Z:,0f0cadb0-3af8-41b4-b9b0-4043cf54425f,the 811596193553 with [S3 Browser 6-4-1 http,//s3browser.com] in the s3.amazonaws.com have done GetBucketLocation,3bed7472,<*> in the <*> have done <*>,"['//s3browser.com]', 's3.amazonaws.com', 'GetBucketLocation']"
9,2018-03-02T23:41:22Z:,1e3b9c3a-a1e9-420c-a26e-ea8d0f946019,the 811596193553 with [S3 Browser 6-4-1 http,//s3browser.com] in the s3.amazonaws.com have done GetBucketLocation,3bed7472,<*> in the <*> have done <*>,"['//s3browser.com]', 's3.amazonaws.com', 'GetBucketLocation']"
10,2018-03-02T23:41:25Z:,9d228141c-9e4c-43b6-a3fa-3a171b0bd756,the 811596193553 with [S3 Browser 6-4-1 http,//s3browser.com] in the s3.amazonaws.com have done GetBucketLocation,3bed7472,<*> in the <*> have done <*>,"['//s3browser.com]', 's3.amazonaws.com', 'GetBucketLocation']"
11,2018-03-02T23:41:29Z:,1b3d868e-d9e9-4fc1-96c9-3cec0927dd48,the 811596193553 with [S3 Browser 6-4-1 http,//s3browser.com] in the s3.amazonaws.com have done GetBucketLocation,3bed7472,<*> in the <*> have done <*>,"['//s3browser.com]', 's3.amazonaws.com', 'GetBucketLocation']"
12,2018-03-02T23:41:34Z:,c95dbe16-d360-4fd9-8499-1172d1e65646,the 811596193553 with [S3 Browser 6-4-1 http,//s3browser.com] in the s3.amazonaws.com have done GetBucketLocation,3bed7472,<*> in the <*> have done <*>,"['//s3browser.com]', 's3.amazonaws.com', 'GetBucketLocation']"
13,2018-03-02T23:41:35Z:,67bdd890-627f-4cb4-9c5e-c432a55ef16b,the 811596193553 with [S3 Browser 6-4-1 http,//s3browser.com] in the s3.amazonaws.com have done GetBucketLocation,3bed7472,<*> in the <*> have done <*>,"['//s3browser.com]', 's3.amazonaws.com', 'GetBucketLocation']"
14,2018-03-02T23:41:38Z:,61597-b920-4921-ac9a-5089b94e601a,the 811596193553 with [S3 Browser 6-4-1 http,//s3browser.com] in the s3.amazonaws.com have done GetBucketLocation,3bed7472,<*> in the <*> have done <*>,"['//s3browser.com]', 's3.amazonaws.com', 'GetBucketLocation']"
15,2018-03-02T23:41:47Z:,fdd5cd53-4fde-49d2-a2b5-143fddf45d2f,the 811596193553 with [S3 Browser 6-4-1 http,//s3browser.com] in the s3.amazonaws.com have done GetBucketLocation,3bed7472,<*> in the <*> have done <*>,"['//s3browser.com]', 's3.amazonaws.com', 'GetBucketLocation']"
16,2018-03-02T23:41:52Z:,4acbf3f3-19e7-4396-9e33-11074c215b53,the 811596193553 with [S3 Browser 6-4-1 http,//s3browser.com] in the s3.amazonaws.com have done GetBucketLocation,3bed7472,<*> in the <*> have done <*>,"['//s3browser.com]', 's3.amazonaws.com', 'GetBucketLocation']"
17,2018-03-02T23:41:58Z:,0a4a7b5e-076f-47fb-825d-89f1c8a8bb61,the 811596193553 with [S3 Browser 6-4-1 http,//s3browser.com] in the s3.amazonaws.com have done GetBucketLocation,3bed7472,<*> in the <*> have done <*>,"['//s3browser.com]', 's3.amazonaws.com', 'GetBucketLocation']"
18,2018-03-17T23:00:10Z:,bb4cfcef-853b-403e-b2e4-bced5307dbc2,the 811596193553 with S3 Browser 6-4-1 http,//s3browser.com in the cloudfront.amazonaws.com have done ListDistributions2012_03_15,3bed7472,<*> in the <*> have done <*>,"['//s3browser.com', 'cloudfront.amazonaws.com', 'ListDistributions2012_03_15']"
19,2018-03-17T23:00:10Z:,69d8abb5-ac17-4747-90ce-6216054aa02b,the 811596193553 with [S3 Browser 6-4-1 http,//s3browser.com] in the s3.amazonaws.com have done GetBucketLocation,3bed7472,<*> in the <*> have done <*>,"['//s3browser.com]', 's3.amazonaws.com', 'GetBucketLocation']"
20,2018-03-17T23:00:10Z:,66926-3f33-4fb3-b3d6-68cc3caf2d49,the 811596193553 with [S3 Browser 6-4-1 http,//s3browser.com] in the s3.amazonaws.com have done ListBuckets,3bed7472,<*> in the <*> have done <*>,"['//s3browser.com]', 's3.amazonaws.com', 'ListBuckets']"
